county npat pmedicaid public percinf
34 248767 1 0 2
36 233083 8 0 0.7
17 51104 6 1 0.4
26 376141 10 0 3.2
38 156774 14 1 0.4
35 120945 5 0 0.3
20 126102 19 0 0.2
38 269866 6 0 0.2
20 137171 17 0 2.1
36 140298 11 1 6.3
26 156308 2 0 3.6
39 120659 15 0 0.1
3 140016 4 0 1.8
38 278416 10 0 0.8
40 175599 9 0 0.5
9 244722 6 0 3.4
26 140199 3 1 0.2
16 177474 8 0 0.6
18 204212 6 0 8.1
18 294083 8 0 2.2
3 80206 8 1 1.1
18 278948 3 1 1
30 123997 2 1 1.3
34 128113 6 0 3
11 129333 10 0 2.2
7 335345 3 0 1.1
19 120172 7 0 6.4
15 137551 11 1 0.5
34 160727 3 0 3.7
6 114423 9 0 0.2
13 180594 7 0 2
25 155777 15 0 1.4
38 85173 5 0 1.6
19 519282 27 0 0.5
26 144106 6 0 2.2
37 183548 5 0 1.1
3 131365 13 0 2.3
38 284648 8 0 0.9
5 140784 0 0 4
22 136960 13 0 2.6
13 126853 11 0 4.1
38 288615 10 0 5.2
13 181841 2 0 0.3
38 75324 7 1 0.6
7 113681 12 0 0.8
2 71660 13 0 3.7
17 141316 7 1 2
34 147604 7 0 3.7
36 114236 15 0 0.6
13 263094 5 0 0.9
34 103255 17 1 2
34 246341 9 1 1.1
40 130445 3 0 0.8
22 167927 5 0 1.5
19 70732 4 0 4.4
17 944380 5 1 3.4
6 1184739 15 1 8.9
3 972013 19 0 3.7
18 1586958 19 1 2.2
16 1170681 13 1 9.4
10 528754 15 1 3.6
35 1169028 10 1 2.9
5 763412 1 1 6.1
38 1502101 3 1 0.5
38 577067 5 0 4
19 1020276 5 1 3.1
40 851673 2 1 10
18 1195186 26 0 8.8
18 934414 6 1 4.2
9 1620010 4 1 3.9
10 635305 7 1 3.3
26 634852 16 1 9.6
15 393127 1 0 3
40 693865 9 1 2.8
29 2005489 6 1 4.1
19 1326085 10 1 1.1
4 1010682 11 1 2.1
16 658253 6 1 4.9
32 2002551 9 1 3.7
16 500539 4 1 4.7
39 719154 3 1 3
38 692982 3 1 2.9
5 580199 14 1 2.9
39 692532 9 1 1.8
9 1215021 23 1 4.3
15 959557 7 1 3.8
17 1278908 7 1 6
17 825035 3 1 5.6
9 1560854 13 1 4.6
17 596460 8 0 6.9
39 1141216 13 0 4.4
6 776433 9 1 5
16 825388 14 1 3.5
37 972903 8 1 5.9
26 855554 8 1 10.3
17 561274 1 1 4.3
17 589744 4 0 7.9
17 1116080 5 1 3.1
23 595070 9 1 4
22 796922 18 0 8.6
40 1059978 6 1 2.4
40 1885591 3 1 1
9 725686 8 1 9.5
12 1456990 9 1 3.8
39 695466 10 1 3.1
38 1706935 1 1 9.5
9 963634 3 1 2.6
26 1539058 9 1 6.6
21 1074617 8 1 2.9
30 1390330 16 1 2.1
19 653698 6 0 9.7
23 486476 1 0 0.7
39 1022057 15 1 5.1
36 1598249 28 1 2.3
10 1922094 5 1 15.1
20 1089072 8 1 2
38 465130 6 0 4.5
37 608635 4 0 5.8
35 976262 6 1 0.7
35 946402 12 1 0.8
37 1495835 6 1 0.5
17 1206431 3 1 3.3
20 554555 7 0 1
16 948737 7 0 4.7
37 613033 14 1 2.1
26 1252995 3 1 6.1
5 1420164 4 1 4.9
19 580391 9 0 9
19 1392667 1 1 7.6
12 618692 18 0 1.9
40 657899 7 1 2.2
40 771468 3 1 2.8
35 1152585 1 1 0.4
6 1030101 6 1 3.4
35 652104 5 1 4.7
36 1179552 5 1 5
38 1447578 11 1 3.1
26 1226915 4 0 3.1
33 624642 1 1 2.5
19 1039354 9 0 2.1
15 855013 9 1 4.2
40 800015 3 0 6.1
9 877045 11 0 1.4
40 1189982 12 0 3.2
3 849972 5 1 1.3
26 1183881 3 1 2.6
37 766064 7 0 1.1
39 608799 11 1 8
10 860611 2 1 13.2
25 608013 12 0 5.5
34 1633793 9 1 3.2
39 852532 8 1 1.9
3 1014321 4 1 3
18 1030512 10 1 1.7
19 868503 2 0 4.7
12 344587 14 0 6.6
21 1232960 11 1 5.6
38 1638091 2 1 3.8
6 1258017 14 1 5.6
19 740524 8 1 4.7
36 402680 2 1 5.2
18 1166141 4 1 3.8
26 858803 5 1 6.4
39 878763 4 1 3.7
35 941292 21 0 4.1
3 1327679 9 0 2.8
40 1037671 28 0 8.4
40 1535682 12 1 3.6
32 632822 7 0 0.7
8 791288 11 1 0.3
21 872867 6 1 4.1
9 619107 2 1 4.8
25 640801 28 1 7.2
38 1096813 13 0 4.7
21 537408 8 1 6.7
40 1320551 24 1 4.8
13 1082867 8 1 1.2
17 801141 2 1 7.5
9 1903232 6 1 4.2
3 1039662 13 1 2.2
23 650917 10 0 0.5
36 531195 6 1 2
38 1049222 8 1 1.9
17 667067 10 1 2.4
12 606158 3 0 3.4
7 487409 8 1 4.6
5 1318097 13 1 0.8
38 413834 9 0 3.8
40 965247 10 1 6.4
4 1455466 8 1 4.2
19 898791 12 0 2.2
23 609681 7 1 1.3
23 632320 10 0 8.5
19 768727 24 1 2.2
21 784896 2 1 2.2
6 564596 6 0 3.6
34 796240 19 1 3.1
8 537291 3 1 5.6
34 1016625 2 1 4
26 636538 6 0 8.4
37 1213734 7 1 5
13 944281 2 0 5.4
35 1384479 23 1 0.5
5 772905 4 1 4
10 1465633 1 1 5.3
3 2518484 7 1 2.8
12 763359 11 1 3.4
29 1485328 9 1 4
39 646470 13 0 5.9
6 958770 0 1 4.7
40 1141915 7 1 1.4
7 1054078 30 1 3.2
38 1002670 4 1 4.2
37 973147 1 1 5.1
17 462678 3 1 3.8
34 1050542 3 1 1.5
22 484743 5 0 14.7
3 1191892 4 1 7.7
37 753803 3 1 10.1
34 817670 2 1 3.5
37 894293 10 1 3.8
38 410314 4 0 7.4
25 359015 16 0 2.7
17 976772 8 0 3.8
27 651774 9 1 1.7
19 544714 4 0 9.3
19 703348 7 1 1.8
36 1285672 8 1 0.9
21 786755 11 1 7.1
34 1089911 27 1 3.2
18 1239828 19 1 10.6
17 413016 9 0 15.3
38 1669990 9 1 3.6
22 984644 23 0 5.4
25 1617517 2 0 1.7
27 1866083 13 1 4.9
38 801268 3 1 6.1
16 1090946 2 1 1.1
23 1261473 9 1 16.8
11 641455 14 1 11.6
17 1093030 5 1 10.2
13 795891 15 1 1.5
35 1236291 6 1 3.5
6 437890 2 0 2.5
7 679392 10 1 3.7
40 1436210 9 1 4.2
18 1402531 6 1 9.8
22 1476814 8 0 4.5
32 728255 9 0 2
35 435554 5 0 5.1
12 679883 10 1 2.7
3 1014992 9 1 6.6
10 1222388 14 1 1.6
23 945492 11 1 1.5
39 762361 8 1 13
26 1371922 3 1 1.6
16 1333160 13 0 3.1
40 629058 11 0 8.9
20 1025772 5 1 5.4
35 522721 15 1 3
20 1029752 3 1 4.4
15 617013 11 1 7
15 1018582 27 0 5.9
5 1270815 22 0 5.3
10 1087408 6 1 1.6
