"Notes"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Census Region"	"Census Region Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"52 years"	"52"	93	390703	23.8
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"53 years"	"53"	73	412296	17.7
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"54 years"	"54"	90	418572	21.5
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"55 years"	"55"	104	415486	25.0
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"56 years"	"56"	105	412454	25.5
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"57 years"	"57"	133	419111	31.7
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"58 years"	"58"	121	421582	28.7
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"59 years"	"59"	110	410942	26.8
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"60 years"	"60"	128	407761	31.4
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"61 years"	"61"	121	400986	30.2
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"62 years"	"62"	145	384684	37.7
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"63 years"	"63"	129	379239	34.0
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"64 years"	"64"	132	360690	36.6
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"65 years"	"65"	130	345757	37.6
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"66 years"	"66"	127	330763	38.4
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"67 years"	"67"	142	320129	44.4
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"68 years"	"68"	122	311943	39.1
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"69 years"	"69"	156	302176	51.6
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"70 years"	"70"	192	299891	64.0
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"71 years"	"71"	187	312743	59.8
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"72 years"	"72"	152	231269	65.7
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"73 years"	"73"	177	225947	78.3
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"74 years"	"74"	189	219961	85.9
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"75 years"	"75"	189	229773	82.3
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"76 years"	"76"	176	199057	88.4
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"77 years"	"77"	188	179366	104.8
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"78 years"	"78"	179	169810	105.4
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"79 years"	"79"	166	159303	104.2
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"80 years"	"80"	213	153729	138.6
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"81 years"	"81"	222	142105	156.2
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"82 years"	"82"	236	135114	174.7
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"83 years"	"83"	221	129029	171.3
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"84 years"	"84"	218	115070	189.4
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"85 years"	"85"	234	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"86 years"	"86"	237	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"87 years"	"87"	273	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"88 years"	"88"	280	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"89 years"	"89"	271	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"90 years"	"90"	267	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"91 years"	"91"	222	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"92 years"	"92"	214	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"93 years"	"93"	217	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"94 years"	"94"	189	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"95 years"	"95"	181	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"96 years"	"96"	147	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"97 years"	"97"	112	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"98 years"	"98"	80	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"99 years"	"99"	54	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"100+ years"	"100"	118	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"			8843	28750649	30.8
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"< 1 year"	"0"	14	391445	Unreliable
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"28 years"	"28"	13	460792	Unreliable
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"29 years"	"29"	22	441492	5.0
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"30 years"	"30"	28	432333	6.5
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"31 years"	"31"	19	427595	Unreliable
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"32 years"	"32"	23	435266	5.3
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"33 years"	"33"	23	442856	5.2
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"34 years"	"34"	22	430791	5.1
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"35 years"	"35"	30	439033	6.8
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"36 years"	"36"	34	440569	7.7
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"37 years"	"37"	30	438118	6.8
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"38 years"	"38"	32	444763	7.2
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"39 years"	"39"	38	418707	9.1
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"40 years"	"40"	42	407682	10.3
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"41 years"	"41"	45	401515	11.2
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"42 years"	"42"	45	387293	11.6
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"43 years"	"43"	51	398055	12.8
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"44 years"	"44"	58	385836	15.0
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"45 years"	"45"	56	392294	14.3
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"46 years"	"46"	76	413569	18.4
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"47 years"	"47"	72	441362	16.3
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"48 years"	"48"	91	442463	20.6
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"49 years"	"49"	88	420186	20.9
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"50 years"	"50"	107	412541	25.9
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"51 years"	"51"	108	419423	25.7
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"52 years"	"52"	108	428427	25.2
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"53 years"	"53"	143	456473	31.3
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"54 years"	"54"	131	469846	27.9
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"55 years"	"55"	161	475301	33.9
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"56 years"	"56"	150	480204	31.2
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"57 years"	"57"	162	491731	32.9
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"58 years"	"58"	143	492629	29.0
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"59 years"	"59"	200	480602	41.6
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"60 years"	"60"	207	481298	43.0
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"61 years"	"61"	193	475079	40.6
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"62 years"	"62"	167	455941	36.6
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"63 years"	"63"	212	450664	47.0
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"64 years"	"64"	186	432625	43.0
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"65 years"	"65"	210	414469	50.7
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"66 years"	"66"	213	400271	53.2
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"67 years"	"67"	181	386113	46.9
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"68 years"	"68"	218	370020	58.9
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"69 years"	"69"	231	357849	64.6
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"70 years"	"70"	256	349307	73.3
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"71 years"	"71"	223	362958	61.4
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"72 years"	"72"	215	261065	82.4
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"73 years"	"73"	214	256441	83.4
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"74 years"	"74"	225	252744	89.0
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"75 years"	"75"	240	263389	91.1
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"76 years"	"76"	236	230561	102.4
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"77 years"	"77"	246	210268	117.0
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"78 years"	"78"	239	196084	121.9
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"79 years"	"79"	249	185301	134.4
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"80 years"	"80"	243	177675	136.8
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"81 years"	"81"	230	162927	141.2
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"82 years"	"82"	263	154826	169.9
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"83 years"	"83"	259	147164	176.0
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"84 years"	"84"	292	130185	224.3
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"85 years"	"85"	278	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"86 years"	"86"	312	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"87 years"	"87"	304	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"88 years"	"88"	285	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"89 years"	"89"	285	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"90 years"	"90"	288	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"91 years"	"91"	273	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"92 years"	"92"	271	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"93 years"	"93"	244	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"94 years"	"94"	215	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"95 years"	"95"	193	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"96 years"	"96"	149	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"97 years"	"97"	119	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"98 years"	"98"	83	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"99 years"	"99"	65	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"100+ years"	"100"	130	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"			11561	34580567	33.4
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"< 1 year"	"0"	34	730438	4.7
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"27 years"	"27"	12	905091	Unreliable
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"28 years"	"28"	26	904652	2.9
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"29 years"	"29"	23	869537	2.6
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"30 years"	"30"	22	845174	2.6
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"31 years"	"31"	28	830387	3.4
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"32 years"	"32"	37	831283	4.5
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"33 years"	"33"	37	840426	4.4
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"34 years"	"34"	37	820300	4.5
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"35 years"	"35"	48	836413	5.7
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"36 years"	"36"	47	836501	5.6
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"37 years"	"37"	53	832251	6.4
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"38 years"	"38"	70	845482	8.3
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"39 years"	"39"	70	796904	8.8
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"40 years"	"40"	79	784283	10.1
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"41 years"	"41"	90	782360	11.5
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"42 years"	"42"	72	757095	9.5
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"43 years"	"43"	118	778945	15.1
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"44 years"	"44"	98	760929	12.9
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"45 years"	"45"	96	778469	12.3
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"46 years"	"46"	111	811297	13.7
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"47 years"	"47"	147	849391	17.3
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"48 years"	"48"	169	845000	20.0
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"49 years"	"49"	162	796574	20.3
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"50 years"	"50"	172	779791	22.1
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"51 years"	"51"	211	780044	27.0
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"52 years"	"52"	230	794153	29.0
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"53 years"	"53"	272	842589	32.3
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"54 years"	"54"	307	860188	35.7
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"55 years"	"55"	313	855416	36.6
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"56 years"	"56"	340	850940	40.0
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"57 years"	"57"	339	856570	39.6
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"58 years"	"58"	389	859269	45.3
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"59 years"	"59"	385	832034	46.3
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"60 years"	"60"	350	824792	42.4
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"61 years"	"61"	374	820079	45.6
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"62 years"	"62"	384	794452	48.3
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"63 years"	"63"	437	788254	55.4
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"64 years"	"64"	381	762396	50.0
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"65 years"	"65"	433	734030	59.0
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"66 years"	"66"	405	706008	57.4
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"67 years"	"67"	370	689603	53.7
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"68 years"	"68"	420	672493	62.5
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"69 years"	"69"	419	656050	63.9
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"70 years"	"70"	454	649727	69.9
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"71 years"	"71"	528	677040	78.0
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"72 years"	"72"	413	501766	82.3
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"73 years"	"73"	410	496552	82.6
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"74 years"	"74"	444	481849	92.1
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"75 years"	"75"	453	486106	93.2
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"76 years"	"76"	436	421046	103.6
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"77 years"	"77"	437	386076	113.2
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"78 years"	"78"	452	361397	125.1
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"79 years"	"79"	397	332600	119.4
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"80 years"	"80"	445	314921	141.3
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"81 years"	"81"	396	284410	139.2
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"82 years"	"82"	436	267805	162.8
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"83 years"	"83"	431	252526	170.7
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"84 years"	"84"	416	219741	189.3
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"85 years"	"85"	420	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"86 years"	"86"	425	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"87 years"	"87"	420	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"88 years"	"88"	416	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"89 years"	"89"	410	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"90 years"	"90"	359	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"91 years"	"91"	356	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"92 years"	"92"	336	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"93 years"	"93"	250	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"94 years"	"94"	241	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"95 years"	"95"	210	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"96 years"	"96"	170	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"97 years"	"97"	126	Not Applicable	Not Applicable
	"2018"	"2018"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"98 years"	"98"	89	Not Applicable	Not Applicable
